community_name,community_address,community_rent,community_rooms,community_description,apartment_no,no_of_bedrooms,no_of_bathrooms,area,floor_no,availability,deposit,Max_rent,Min_rent,amenities,community_amenities
Ashton at Waterford Lakes,"12137 Ashton Manor WayOrlando, FL 32828","$1,407",3 Bedrooms,"Located in Waterford Lakes just east of Orlando, our community offers convenient access to beaches and world-class shopping.",102,2,2.0,1040,1,True,400.0,1898.0,1898.0,"['Updated interior', 'White on granite finish package', 'Smart home + GiGstreem Internet', 'Fountain view', 'Pond view', 'Extra Patio', 'Screened patio', 'Stainless steel appliances', 'Washer and dryer', 'Walk-in closet', 'Garden tub', 'Corner location']","['24-hour business center', '24-hour fitness center', '24-hour package lockers', 'Car care center', 'Clubhouse', 'Dog park', 'Garages', 'Grilling and picnic areas', 'Lighted tennis court', 'Limited access gates', 'Media room featuring 80"" 3D TV (available for private rental)', 'On-site storage', 'Outdoor kitchen', 'Outdoor lounge', 'Pet friendly', 'Playground', 'Sand volleyball court', 'Spa', 'Swimming pool and sundeck', 'On-site maintenance']"
Seabrook,"3114 Terry Brook DriveWinter Park, FL 32792","$1,342",2 Bedrooms,Our stylish apartments in southeast Winter Park offer the benefits of a resort town with the comforts of a small town.,104,1,1.0,629,1,True,400.0,1342.0,1342.0,"['White on black pepper finish package', 'Smart Home + GiGstreem Internet', 'White cabinetry', 'Stackable washer and dryer', 'Wood plank flooring', 'Stainless steel appliances', 'Patio/balcony', 'Ceiling fan', 'Garden window with bench in bathroom', 'Pepper countertops']","['24-hour fitness center', '24/7 package lockers', 'Business center', 'Car wash area', 'Dog park with agility equipment', 'On-site laundry', 'Outdoor kitchen - available for event rental', 'Outdoor lounge', 'Pet friendly', 'Resident events', 'Sundeck', 'Swimming pool']"
Essex Luxe Apartments,"8000 Essex Point CircleOrlando, FL 32819","$1,720",3 Bedrooms,Appreciate upscale apartment homes and modern community amenities in Essex Luxe’s premiere Orlando location.,1310,1,1.0,735,3,True,400.0,1750.0,1750.0,"['Grey with espresso finish package', 'Pool view', 'Quartz countertops', 'Stainless steel appliances', 'Shaker style premium cabinetry', 'Wood plank flooring', 'Washer and dryer', 'Kitchen island', 'Smart home package', 'Screened- in patio/balcony', 'Walk-in closets', 'Under mount sinks', 'Ceiling fans', 'Tile backsplash', 'Gooseneck kitchen faucet', 'Glass top stove', 'Keyless entry', 'Shower/tub combo', '2-inch blinds', 'Air conditioner', 'Dishwasher', 'Microwave', 'Carpeted bedrooms', 'Refrigerator']","['Business center', 'Car care center', 'Community kitchen', 'Conference rooms', 'Dog wash area', 'Elevator', 'Fitness center', 'Game area with skeeball, shuffleboard, and billiards', 'Gas grills', 'Gated community', 'Hammock Garden Courtyard', 'Keyless entry building access', 'Lounge areas', 'Outdoor bar and TV', 'Outdoor fireplace', 'Outdoor game area with chess and giant Jenga', 'Package lockers', 'Pet friendly', 'Playground', 'Resident clubhouse', 'Resort style pool deck', 'Saltwater, zero-entry pool', 'Smoke-free community', 'Spin studio', 'Work lounge areas']"
Arbors at Maitland Summit,"8636 Villa PointOrlando, FL 32810","$1,407",3 Bedrooms,Arbors at Maitland Summit offer unique community amenities and charming interiors in a tranquil Maitland location.,28,1,1.0,718,2,True,400.0,1472.0,1472.0,"['Premium interior', 'White with subway tile finish package', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Subway tile backsplash', 'Washer and dryer', 'Patio / balcony', 'Ceiling fan in living room', 'Large closets', 'Shower / tub combo', 'Air conditioner', 'Dishwasher', 'Garbage disposal', 'White cabinets']","['Clubhouse (available for rental)', 'Cross fit training studio', 'Dog park', 'Dog spa', 'Electric car charging stations', 'Gas & charcoal grills', 'Gated control access community', 'Lap pool', 'Lounge pool', 'Outdoor fireplace', 'Outdoor lounge and dining areas', 'Outdoor terrace overlooking pool', 'Pet friendly', 'Pickleball courts', 'Playground', 'Poolside cabanas', 'Resort pool', 'Sand volleyball court', 'Two-story fitness center']"
The Smith Valley Forge,"580 S Goddard BlvdKing of Prussia, PA 19406","$1,699",3 Bedrooms,"Enjoy refined apartment living in a premier location with The Smith Valley Forge apartments in King of Prussia, PA.",1133,1,1.0,737,1,True,400.0,1938.0,1938.0,"['Courtyard view', 'Private walk-up', 'Patio / balcony', 'White on marbled white finish package', 'Granite countertops', 'Shaker-style cabinets', 'Side-by-side refrigerator', 'Subway tile backsplash', 'Stainless steel appliances', 'Wood plank flooring', 'Gray wood plank flooring', '10 ft ceilings', 'Smart home package', 'Walk-in closets', 'Premium bathroom finishes', 'Washer and dryer', 'Ceiling fan in bedrooms', 'Undermount sinks', 'Tiled bathroom floors', 'Air conditioner', 'Dishwasher', 'Garbage disposal', 'Microwave', 'White cabinetry']","['Airbnb-friendly', 'Billiards', 'Chic sky lounge', 'Conference room', 'Controlled access parking garage', 'Courtyard lounge', 'Co-working stations', 'Dry cleaning lockers', 'Electric vehicle charging stations (5)', 'Elevator', 'Fully-equipped fitness center', 'Grilling areas', 'Kitchen and dining area', 'Mac community computers', 'Outdoor TV', 'Package lockers', 'Pet friendly', 'Pet spa', 'Pool ', 'Private workout studio', 'Resident clubroom', 'Spin studio with Peloton bikes', 'Sundeck', 'Wellbeats fitness center on demand']"
The George Apartments,"140 Valley Green LnKing of Prussia, PA 19406","$1,899",2 Bedrooms,"The George Apartments features upscale design, stylish finishes, and abundant amenities in King of Prussia's Town Center.",1211,1,1.0,982,2,True,400.0,2805.0,2805.0,"['Bluestone gray finish package', 'Pool view', 'Courtyard view', 'Patio / balcony', 'Quartz countertops', 'Stainless steel appliances', 'Smart home package', 'Wood plank flooring', 'Frameless glass shower', 'Floor to ceiling shower tile', 'Walk-in oversized closets', 'Full-size washer and dryer', 'Tile backsplash', 'Undermount deep sink', 'Glass top stove', 'Auto ice and water dispenser refrigerator', 'Ceiling fan in bedroom(s)', 'Shaker style cabinets', 'USB outlets', 'Microwave', 'Air conditioner', 'Dishwasher', 'Garbage disposal', 'Under-cabinet lighting', 'Solar fabric shades', 'Bluestone grey cabinets']","['24-hour fitness center', '24-hour package pickup', 'Airbnb-friendly', 'Bike storage', 'Bocce ball court', 'Clubroom with gas fireplace', 'Conference rooms', 'Elevators', 'Electric vehicle charging station', 'Fire pit ', 'Grilling stations', 'Internet powered by GiGstreem', 'On-site resident storage', 'Outdoor dog run', 'Outdoor lounge', 'Parking garage with controlled access', 'Pet washing station', 'Ping pong table', 'Resident lounge', 'Resort-style pool with sundeck', 'Silver LEED certification']"
Park Square,"751 Vandenburg Rd.King of Prussia, PA 19406","$1,974",3 Bedrooms,"Located in King of Prussia, this luxury apartment community features upscale amenities close to great shopping and dining.",1419,1,1.0,770,4,True,400.0,2049.0,2049.0,"['Pool view', 'Balcony', '12 ft. ceilings', 'Applewood on white finish package', 'Quartz countertops', 'Stainless steel appliances', 'Gas stove', 'Wood plank flooring', 'Linen closet', 'Undermount sinks', 'Tile surround bath/shower', 'Smart home package', 'Corner apartment', 'Air conditioning', 'Programmable thermostat', 'Applewood cabinetry']","['Airbnb-friendly', 'Bike storage', 'Car washing station', 'Catering kitchen', 'Co-working spaces', 'Communal dining area', 'Conference room', 'Courtyard lounges with fire pits', 'Dog park', 'Dog washing station', 'Fitness center', 'Game room with billiards, shuffleboard and more', 'Grand lounge with fireplace', 'Grilling stations', 'Multi-media room', 'One mile of paved trails', 'Outdoor dining areas', 'Parking garage', 'Pet-friendly', 'Pool with sundeck', 'Yoga room']"
322 on North Broad,"322 N Broad St.Philadelphia, PA 19102","$1,799",3 Bedrooms,322 on North Broad offers upscale apartments and contemporary community amenities from an ideal downtown Philadelphia location.,1617,1,1.0,655,6,True,550.0,2019.0,2019.0,"['Espresso on white finish package', 'Quartz countertops', 'Stainless steel appliances', 'Oak wood plank flooring', 'Washer and dryer', 'Smart home package', 'Walk-in closets', 'Frameless walk-in showers', 'Large soaking tub', 'Tile backsplash', 'Goose neck faucet', 'Undermount sinks', 'Glass top stove', 'Air conditioner', 'Dishwasher', 'Garbage disposal', 'Microwave', 'Espresso Cabinetry']","['Airbnb-friendly', 'Bike storage', 'Billiards', 'Bocce ball court', 'Community city terrace', 'Community courtyard', 'Conference room', 'Courtyard dining table', 'Courtyard lounge areas', 'Elevator', 'Fitness center', 'Gas grills', 'Indoor and outdoor TVs', 'Kitchen and dining area', 'On-site retail', 'Outdoor fireplace', 'Package lockers', 'Parking garage', 'Pet friendly', 'Resident clubhouse']"
Steele Creek,"3222 E. 1st AvenueDenver, CO 80206","$1,865",2 Bedrooms,"Enjoy luxury apartment living in Cherry Creek, one of the most sought after residential locales in Denver.",1210,1,1.0,769,12,True,550.0,3313.0,3313.0,"['Mountain view', 'Light oak on white finish package', 'Smart Home + GiGstreem Internet', 'Quartz countertops', 'Caesarstone countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Floor-to-ceiling windows', 'Washer and dryer', 'Walk-in closet', 'Tile backsplash', 'Closet built-ins', 'Light oak cabinetry']","['24-hour concierge services', '24-hour fitness center with fitness on-demand', 'Airbnb-friendly', 'Bike sharing program and repair shop', 'Board room', 'Controlled access', 'Electric vehicle charging stations', 'Elevator', 'Fire pits', 'Gourmet presentation kitchen', 'Grilling area', 'Group fitness classes', 'High-speed wireless Internet in common areas', 'Indoor / outdoor terrace', 'On-site retail', 'Parcel Pending package pick-up', 'Pet friendly', 'Pet wash station', 'Rooftop pool', 'Spa', 'Sports viewing lounge', 'Sundeck with cabanas', 'TRX equipment', 'Yoga studio']"
Cirrus,"1590 Grove StreetDenver, CO 80204","$1,501",3 Bedrooms,"This modern, luxurious apartment community located in Denver, features impressive amenities and stylish finishes.",209,1,1.0,667,2,True,550.0,1751.0,1751.0,"['Teak premium cabinetry', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Frameless glass shower', 'Closet with custom shelving', 'USB outlets', 'Tiled bathroom', 'Soft close cabinet drawers', 'Undermount oversized sink', 'Microwave', 'Air Conditioning', 'Dishwasher', 'Garbage disposal']","['Airbnb-friendly', 'Bike storage', 'Conference rooms', 'Co-working area', 'Dog spa', 'Private dog park', 'Electric vehicle charging stations', 'Exposed Cross Laminated Timber construction', 'Elevator', 'Fitness center', 'Hot tub', 'Fire pits', 'Grilling areas', 'Indoor lounge', 'LEED Silver Certified', 'Lounge and recreation areas', 'On-site Mini-market', 'On-site storage', 'Outdoor pool with sun ledge', 'Outdoor dining room and barbecue', 'Package lockers', 'Parking garage with controlled access', 'Rooftop deck with mountain and city views', 'Virtual fitness room']"
Domus,"3411 Chestnut StreetPhiladelphia, PA 19104","$2,703",3 Bedrooms,"Domus, located in University City, is a luxury apartment community that defines living well near the best of Philadelphia.",237,1,1.0,793,2,True,1100.0,2748.0,2748.0,"['Pool view', 'White/Grey Cabinetry', 'Quartz countertops', 'Built-in desk', 'Wood plank flooring', 'Stainless steel appliances', 'Smart home package', 'Slate flooring in kitchen', 'Washer and dryer', 'Tile backsplash', 'Kitchen island', 'High ceilings', 'Walk-in closet']","['Artwork by Dennis Oppenheim', 'Billiards', 'Clubhouse', 'Concierge services', 'Co-working lounge', 'Efficiency benchmarked via ENERGY STAR Portfolio Manager', 'Elevator', 'On-site laundry and dry cleaning services', 'On-site retail', 'Package lockers', 'Pet friendly', 'Free parking in private garage', 'Private conference/study rooms', 'Second-floor pool', 'State-of-the-art fitness center']"
Colonnade,"4100 Central PikeHermitage, TN 37076","$1,219",3 Bedrooms,Colonnade apartments provide high-end amenities and spacious living in South Hermitage.,1502,1,1.0,650,1,True,250.0,1274.0,1274.0,"['White countertops', 'Updated interior', 'Grey on white finish package', 'Pool view', 'Wood plank flooring', 'Smart home package', '9 ft. ceiling', 'Washer and dryer', 'Patio/balcony', 'Storage on patio', 'Walk-in closet', 'Ceiling fan', 'Grey cabinetry']","['24-hour fitness center', '24-hour package lockers', 'Car care center', 'Conference room', 'Covered parking', 'Detached garages', 'Dog park with agility equipment', 'Grilling areas', 'On-site maintenance', 'Pet friendly', 'Pergola swing garden', 'Swimming pools']"
Preserve at Brentwood,"370 Oakley DriveNashville, TN 37211","$1,153",3 Bedrooms,"Surrounded by hillsides and nestled on more than 40 rolling acres in Brentwood, this is your private escape from the fast pace.",0614,1,1.0,765,1,True,250.0,1425.0,1425.0,"['Updated interior', 'Slate on quartz finish package', 'Patio/balcony', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Smart home package', 'Washer and dryer', 'Pantry', '9 ft. ceilings', 'Closet built-ins', 'Ceiling fan', 'Tile floors in kitchen/ bathroom', 'Slate grey cabinetry']","['24-hour fitness center', '24-hour package lockers', 'Car care center', 'Conference room', 'Dog park', 'Garage parking available', 'Grilling area', 'On-site Mini-market', 'Outdoor kitchen', 'Pet friendly', 'Playground', 'Reserved parking available', 'Resident clubhouse', 'Swimming pools', 'Valet trash service']"
Legacy Hill,"501 Shadowood DriveNashville, TN 37205","$1,307",3 Bedrooms,Enjoy stylish apartment living nestled on a quiet hillside in Belle Meade with the best of Nashville just minutes away.,654,1,1.0,761,2,True,250.0,1365.0,1365.0,"['Maple on black finish package', 'Black appliances', 'Carpet flooring', 'Washer and dryer', 'Patio/balcony', 'Smart home package', 'Closet built-ins', 'Ceiling fan', 'Corner location', 'Black countertops', 'Maple cabinetry']","['24-hour fitness center', 'Dog park with agility equipment', 'Gift wrapping station', 'Grilling and picnic areas', 'Lighted tennis court', 'On-site laundry', 'On-site maintenance', 'Pet friendly', 'Pickleball court', 'Playground', 'Swimming pool']"
Carrington Hills,"3750 Carothers ParkwayFranklin, TN 37067","$1,456",3 Bedrooms,"Enjoy enviable views, spacious floor plans, and incomparable community amenities in a hillside location in East Franklin.",14207,2,2.0,961,2,True,250.0,1782.0,1782.0,"['Updated interior', 'Slate on quartz finish package', 'Vaulted ceilings', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Upgraded bathroom finishes', 'Subway tile backsplash', 'Under cabinet lighting', 'Under mount sink', 'Glass top stove', 'Fireplace', 'Ceiling fan', 'Washer and dryer', 'Smart home package', 'Storage on patio', 'Closet built-ins', 'Corner location', 'Slate grey cabinetry']","['3-acre dog park with agility equipment', 'Car care center with vacuum station', 'Conference room ', 'Covered and garage parking', 'Fitness studio', 'Gift wrapping station', 'Grilling areas - updates coming soon', 'On-site storage', 'Outdoor fitness center', 'Package lockers ', 'Playground', 'Pet friendly', 'Pet wash station', 'Resident lounge', 'Swimming pool with cabana - updates coming soon', 'Valet trash service']"
95 Wall,"95 Wall StreetNew York, NY 10005","$3,670",3 Bedrooms,95 Wall offers a one-of-a-kind setting to call home in the heart of New York City’s Financial District.,2325,0,1.0,425,23,True,1000.0,3744.0,3744.0,"['Premium interior', 'Swiss elm on white finish package', 'Smart Home + GiGstreem Internet', 'Quartz countertops', 'Wood plank flooring', 'Washer and dryer', 'Stainless steel appliances', 'Gas stove', 'Roller shades', 'Tile backsplash', 'Antifog bathroom mirror', 'Recessed lighting', 'Matte black hardware', 'Swiss elm cabinetry', 'Walk-in closet']","['Bike storage', 'Concierge services', 'Controlled-access building', 'Credit card payments accepted', 'Door attendant', 'Dry cleaning service', 'Elevator', 'Fitness center - newly renovated', 'Fitwel Certified', 'Housekeeping', 'Lounge', 'On-site laundry', 'On-site retail', 'Pet friendly (dog and cat)', 'Rooftop sundeck', 'Third-party parking available', 'Valet laundry']"
View 34,"401 E 34th StNew York, NY 10016","$3,512",3 Bedrooms,"The epitome of iconic luxury on the East River, View 34 apartments in Murray Hill are top-shelf everything.",S09H,1,1.5,957,9,True,1000.0,6031.0,6031.0,"['East river view', 'Grey on grey finish package', 'Smart Home + GiGstreem Internet', 'Balcony', 'Wood plank flooring', 'Grey cabinetry', 'Quartz countertops', 'Stainless steel appliances']","['24-hour attended Grand lobby', 'Bike storage', 'Business center', ""Children's playroom"", 'Credit card payments accepted', 'Elevator', 'Entertainment kitchen', 'Expansive rooftop lounge', 'Fitness center', 'On-site ATM', 'On-site laundry', 'On-site maintenance', 'On-site retail', 'Outdoor lounge', 'Package receiving', 'Parking garage', 'Pet friendly', 'Resident lounge', 'Valet service']"
Columbus Square,"808 Columbus AveNew York, NY 10025","$4,049",4 Bedrooms,"Located in New York City’s Upper West Side, Columbus Square is complete with beautiful views and a wealth of stylish amenities.",04E,0,1.0,437,4,True,2500.0,4080.0,4080.0,"['Large terrace', 'White on white finish package', 'Caesarstone countertops', 'Stainless steel appliances', 'Gas stove', 'White oak wood plank flooring', 'White/wood cabinetry']","['24-hour concierge', 'Bike storage', ""Children's playroom (available to residents of buildings 801, 795, and 808)"", 'Credit card payments accepted', 'Dog park', 'Elevated green space', 'Elevator', 'Grilling areas', 'Lap pool (available to residents of building 808)', 'Media room (available to residents of 801)', 'On-site laundry', 'On-site parking (3rd party)', 'Pet friendly', 'Resident lounge with Wi-Fi and gourmet kitchen (available to residents of buildings 808 and 801)', 'State-of-the-art fitness center', 'Sundeck']"
Tierra del Rey,"4250 Glencoe AveMarina Del Rey, CA 90292","$2,370",3 Bedrooms,You’ll love the convenience and luxury of living in the eminently walkable neighborhood of Marina del Rey.,2112,3,2.0,1586,1,True,1025.0,4899.0,4899.0,"['White/grey on white finish package', 'Patio/balcony', 'Smart Home + GiGstreem Internet', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Washer and dryer', 'Walk-in closet', 'Central heating & air conditioning', 'Dishwasher', 'Garbage disposal', 'White/grey cabinetry']","['24-hour fitness center', '24-hour package lockers', 'Bike storage', 'Clubhouse', '2 Conference rooms', 'Coffee bar', 'Dog park', 'Elevator', 'EV Charging Solutions', 'On-site maintenance', 'On-site storage', 'Parking garage', 'Pet friendly', 'Poolside grilling area', 'Swimming pool & spa', 'Sundeck']"
10 Hanover Square,"10 Hanover SquareNew York, NY 10005","$3,301",3 Bedrooms,"New York City’s Financial District is the hub of world finance, and 10 Hanover Square provides you with a place to relish it.",02H,1,1.0,665,2,True,1000.0,5052.0,5052.0,"['Updated interior', 'White/grey on white finish package', 'Smart Home + GiGstreem Internet', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'White and grey cabinets', 'Stackable washer and dryer', 'LED lighting', 'Blackout roller shades', 'Gas stove', 'Soaking tub']","['“10 Hanover Kids” club room', '24-hour door attendant', 'Bike storage', 'Catering kitchen', 'Conference rooms', 'Credit card payments accepted', 'Elevator', 'On-site retail', 'On-site storage', 'Pet friendly', 'Resident events', 'Resident lounge (available for event rentals)', 'Rooftop sundeck with grills', 'Valet service']"
21 Chelsea,"120 W. 21stNew York, NY 10011","$4,597",5 Bedrooms,"Surrounded by Chelsea’s world-class galleries, shopping and dining, 21 Chelsea is your launching pad to greater Manhattan.",1014,1,1.0,615,10,True,1000.0,6298.0,6298.0,"['High ceilings', 'Premium upgrade', 'White on grey finish package', 'Smart Home + GiGstreem Internet', 'Oak hardwood flooring', 'White/grey cabinets', 'Quartz countertops', 'Stainless steel appliances', 'Dual vanity', 'Tile flooring', 'Tile backsplash', 'Walk-in closet']","['24-hour doorman', 'Community lounge', 'Credit card payments accepted', 'Elevator', 'Fitness center', 'Fitwel Certified', 'On-site laundry', 'On-site storage', 'Parking garage (Third party owned and operated)', 'Pet friendly (dog and cat)', 'Rooftop terrace']"
The Westerly on Lincoln,"13603 Marina Pointe DriveMarina Del Rey, CA 90292","$2,099",2 Bedrooms,Luxe living is yours for the taking at these luxury apartments in Marina del Rey.,A504,1,1.0,800,5,True,700.0,2518.0,2518.0,"['White finish package', 'Smart Home + GiGstreem Internet', 'Walk-in closet with custom built-ins', 'Stainless steel appliances', 'Granite countertops', 'Wood plank flooring', 'Gas stove', 'Fireplace', 'White cabinetry']","['24-hour package pickup', 'BBQ areas', 'Clubhouse', 'Conference rooms', 'Controlled access parking garage', 'Courtyards', 'Co-working spaces', 'Elevator', 'EV Parking', 'Fitness center', 'On-site laundry', 'Outdoor lounge', 'Two dog parks and dog run', 'Resident lounge', 'Spa', 'Swimming pool']"
Jefferson at Marina del Rey,"3221 Carter AvenueMarina Del Rey, CA 90292","$2,568",3 Bedrooms,Residents will feel right at home in our luxury apartments and townhomes in Southern California’s Marina Del Rey.,277,3,2.0,1628,2,True,1150.0,5110.0,5110.0,"['Updated interior', 'Weathered oak on white finish package', 'Smart Home + GiGstreem Internet', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Washer and dryer', 'Patio/ balcony', 'Walk-in closet', 'Corner location', 'Gas range', 'Mirrored closet doors', 'High ceilings', 'Pantry', 'Built-in bookcase', 'Ceiling fan', 'Dual vanity', 'Weathered oak cabinetry']","['24-hour fitness center', '24-hour package lockers', 'BBQ area', 'Co-working lounge', 'Conference room', 'Controlled-access parking garage', 'Courtyard lounge', 'Dog park', 'Elevator', 'EV charging solutions', 'On-site storage', 'Resident lounge', 'Spa', 'Stockwell smart store', 'Swimming pool']"
Vision on Wilshire,"6245 Wilshire BlvdLos Angeles, CA 90048","$4,197",3 Bedrooms,"This modern, luxurious apartment community located in The Grove, features unique amenities and stylish finishes.",712,1,1.0,677,7,True,900.0,4786.0,4786.0,"['Espresso finish', 'Balcony', 'Quartz countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Soft-close doors', 'Smart home package', 'Glass backsplash', 'Washer and dryer', 'Walk-in closet with custom closet organizers', 'Gas range', 'USB outlets', 'Espresso Cabinetry']","['Clubhouse', 'Concierge services', 'Conference rooms', 'Electric vehicle charging stations', 'Elevator', 'Fitness center', 'Garage parking', 'LEED Certified Silver', 'Pet friendly', 'Private conference room & lounge for penthouse residents', 'Rooftop swimming pool', 'Rooftop lounge', 'Work-from-home spaces']"
3033 Wilshire,"3033 Wilshire BlvdLos Angeles, CA 90010","$2,499",2 Bedrooms,"3033 Wilshire, an 18-story luxury apartment in Koreatown, offers elegant, designer-inspired finishes and stunning views.",1001,1,1.0,794,10,True,800.0,2509.0,2509.0,"['Mountain view', 'Hollywood sign view', 'Walnut on white finish package', 'Washer and dryer', 'Stainless steel appliances', 'Quartz countertops', 'Wood plank flooring', 'Closet built-ins', 'Porcelanosa backsplash', 'Keyless entry', 'Porcelain tile in the bathrooms', 'Stand-alone shower', 'USB outlets', 'White/walnut cabinetry']","['24- hour concierge services', '24 hour package lockers', 'Clubhouse and coffee bar', 'Controlled-access parking garage', 'Dog park', 'Dry cleaning service', 'Electric vehicle charging stations', 'Elevator', 'Fitness center with TechnoGym equipment', 'Golf simulator', 'Green Globes Certified', 'Grilling area', 'Guest parking', 'On-site storage', 'Outdoor shower', 'Outdoor pet wash stations', 'Poolside cabanas', 'Salt-water lap pool', 'Sky Lounge', 'Spa', 'Wi-Fi (in common areas)']"
Hunt Club,"6142 Bonita RdLake Oswego, OR 97035","$1,490",2 Bedrooms,"Nestled in a charming neighborhood in Lake Oswego just south of Portland, Hunt Club offers apartment living at its best.",G207,1,1.0,644,2,True,400.0,1550.0,1550.0,"['Maple on black finish package', 'Granite countertops', 'Stainless steel appliances', 'Carpet flooring', 'Vaulted ceilings', 'Patio/balcony', 'Storage closet on patio', 'Smart home package', 'Washer and dryer', 'Closet built-ins', 'Ceiling fan', 'Fireplace', 'Maple cabinetry']","['30-day lease guarantee', 'Clubhouse', 'Dry sauna', 'EV charging stations', 'Fitness center', 'Indoor and outdoor pickleball court', 'Pet friendly', 'Racquetball court', 'Spa', 'Swimming pool', 'Tennis court']"
Highlands of Marin,"1001 Cresta WaySan Rafael, CA 94903","$2,657",3 Bedrooms,"Located just north of San Francisco in San Rafael, these stylish apartments are surrounded by natural beauty.",01,1,1.0,650,1,True,400.0,2692.0,2692.0,"['Maple on sand finish package', 'Balcony', 'Granite countertops', 'Stainless steel appliances', 'Wood plank flooring', 'Fireplace', 'Washer and dryer', 'Smart home package', 'Air conditioning', 'Corner location', 'Maple cabinetry']","['24-hour fitness center', 'Airbnb-friendly', 'Business center', 'Conference room', 'Courtesy patrol', 'Covered parking ', 'Dog park and wash', 'On-site storage', 'Package receiving', 'Parking garage', 'Pet friendly', 'Playground', 'Resident lounge', 'Three grilling areas', 'Two spas', 'Two swimming pools']"
Residences at Lake Merritt,"1940 Webster StreetOakland, CA 94612","$2,044",2 Bedrooms,"Embrace lakeside living at its finest in the heart of Oakland's vibrant urban landscape, where modern details meet a welcoming atmosphere at our distinctive community near Lake Merritt.",519,1,1.0,631,5,True,450.0,2299.0,2299.0,"['Charcoal grey on white finish package', 'Wood plank flooring', 'White quartz countertops', 'Stainless steel appliances', 'Gas stove', 'Washer and dryer', 'Balcony / Patio', 'Carpet in bedroom', 'Tile backsplash', 'Undermount sink', 'Soft close cabinets', 'Tile shower surround', 'Microwave', 'Air conditioning', 'Dishwasher', 'Garbage disposal', 'Shower / tub combo']","['Barre area', 'Community kitchen', 'Fitness center', 'Free weights', 'Gas grills', 'Indoor / outdoor sky lounge', 'Outdoor firepit', 'Outdoor lounge and seating']"
Crown Pointe,"3788 NE 4th StreetRenton, WA 98056","$1,425",2 Bedrooms,"So close to Seattle, but in a whole different world, our stylish Renton apartments can be your basecamp for the good life.",G105,1,1.0,533,1,True,250.0,1425.0,1425.0,"['Updated interior', 'Golden oak on white finish package', 'Stainless steel appliances', 'Wood plank flooring', 'Quartz countertops', 'Smart home package', 'Patio/ balcony', 'Fireplace', 'Corner location', 'Golden oak cabinetry']","['30-day lease guarantee', 'Airbnb-friendly', 'Basketball court', 'Covered parking', 'Dog park', 'Fitness center', 'On-site laundry', 'On-site management', 'Pet friendly', 'Playground', 'Resident lounge', 'Swimming pool']"
Channel Mission Bay,"185 Channel St.San Francisco, CA 94158","$3,539",2 Bedrooms,"Transit, chic eateries, boutiques, and more, are all nearby when you live in our luxury apartments in Mission Bay.",438,1,1.0,671,4,True,800.0,3974.0,3974.0,"['Espresso on white finish package', 'Smart Home + GiGstreem Internet', 'Stainless steel appliances', 'Natural wood plank flooring', 'Washer and dryer', 'Walk-in closet', 'Soaking tub', 'Kitchen island', 'Tile floors in bathroom', 'Tile backsplash', 'Espresso cabinetry', 'White quartz countertops']","['24-hour package lockers', 'Airbnb-friendly', 'Conference rooms', 'Dog wash station', 'East outdoor lounge', 'EV charging solutions', 'Elevator', 'Grilling area', 'On-site retail', 'Outdoor Heated Pool', 'Outdoor TRX Fitness Area', 'Pet friendly', 'Resident Lounge ', 'SKYVUE lounge – exclusive to penthouse residents', 'Stadium Vue lounge', 'Tri-level fitness center', 'West-end gaming courtyard', 'Co-working lounge ']"
Hilltop in the Highlands,"500 Monroe Avenue NERenton, WA 98056","$1,633",2 Bedrooms,"Close to boating and swimming spots on Lake Washington, this peaceful retreat in East Renton is a pleasure to call ""home.""",C10,1,1.0,670,3,True,250.0,1650.0,1650.0,"['Light oak finish package', 'Stainless steel appliances', 'Wood plank flooring', 'Pantry', 'Smart home package', 'Wood burning fireplace', 'Patio/balcony', 'Storage closet on patio', 'Large closet', 'Light oak cabinetry']","['30-day lease guarantee', 'Airbnb-friendly', 'Basketball & tennis court', 'Covered parking', 'Fitness center', 'Package lockers', 'Pet friendly', 'Pet park', 'Playground', 'Resident lounge', 'Swimming pool']"
